,source,target,value
1271,Massey ,Horpe ,6
1272,Sweet Donnel ,Sweet ,14
1273,Merry ,The Merry ,3
1274,Griff ,Harry ,4
1275,Griff ,Ysilla ,5
1276,Griff ,Haldon ,3
1277,Griff ,Lemore ,4
1278,Griff ,Yandry ,6
1279,Griff ,Duck ,7
1280,The Bastard of Nightsong ,The Bastard ,3
1281,Horse ,Rory ,3
1282,Jocelyn ,Dorcas ,6
1283,Illifer ,Creighton ,6
1284,Ternesio ,Terys ,3
1285,Lambert ,Turnberry ,3
1286,Gretchel ,Maddy ,6
1287,Symond ,Templeton ,4
1288,Melara ,Hetherspoon ,3
1289,Hyle ,Meribald ,3
1290,Hyle ,Hunt ,13
1291,Clarence ,Crabb ,4
1292,Nute ,Ralf ,3
1293,Ralf ,Stonehouse ,4
1294,Ralf ,Red Ralf Stonehouse ,4
1295,Lenwood ,Little Lenwood Tawney ,3
1296,Erik ,Ironmaker ,3
1297,Harry ,Strickland ,12
1298,Sylva ,Arianne ,3
1299,Sylva ,Spotted Sylva ,6
1300,Garin ,Arianne ,3
1301,Cletus ,Quentyn ,3
1302,Dagon ,Codd ,3
1303,Talea ,Brea ,3
1304,Roggo ,Red Roggo ,3
1305,Morra ,Mellei ,4
1306,Moelle ,Unella ,4
1307,Moelle ,Scolera ,5
1308,Unella ,Scolera ,4
1309,Clayton ,Suggs ,7
1310,Godry ,Giantslayer ,4
1311,Corliss ,Penny ,5
1312,Ygon ,Harle ,4
1313,Ysilla ,Yandry ,9
1314,Stalwart ,Mollono ,3
1315,Stalwart ,Shield ,5
1316,Reznak ,Skahaz ,6
1317,Reznak ,Hizdahr ,4
1318,Reznak ,mo Reznak ,34
1319,Reznak ,Shavepate ,4
1320,Skahaz ,Hizdahr ,4
1321,Skahaz ,mo Kandaq ,5
1322,Skahaz ,Shavepate ,9
1323,Galazza ,Galare ,12
1324,Hizdahr ,Marghaz ,4
1325,Hizdahr ,zo Loraq ,30
1326,Gerris ,Quentyn ,8
1327,Gerris ,Drinkwater ,12
1328,Haldon ,Halfmaester ,10
1329,Haldon ,Duck ,6
1330,Lomas ,Longstrider ,3
1331,Barsena ,Barsena Blackhair ,4
1332,Goghor ,Belaquo ,3
1333,Yandry ,Duck ,5
1334,Malaquo ,Nyessos ,4
1335,Wick ,Whittlestick ,4
1336,Qezza ,Grazhar ,3
1337,Balaq ,Black Balaq ,4
1338,Caggo ,Meris ,3
1339,Yurkhaz ,Yezzan ,3
1340,Yurkhaz ,zo Yunzak ,9
1341,Yezzan ,Nurse ,3
1342,Yezzan ,zo Qaggaz ,6
1343,Denzo ,D'han ,5
1344,Meris ,Pretty Meris ,10
1345,Leathers ,Wun ,4
1346,Wun ,Weg Wun Dar Wun ,9
1347,Wun ,Wun Wun ,24
1348,Brus ,Malegorn ,3
1349,Tycho ,Nestoris ,3
1350,Soren ,Shieldbreaker ,4
1351,Gerrick ,Kingsblood ,3
1352,Harle ,Gavin ,3
1353,Howd ,Wanderer ,3
1354,Arstan ,Strong ,3
1355,Quentyn ,Drinkwater ,3
1356,Codd ,Left-Hand Lucas ,4
1357,Stonehouse ,Red Ralf Stonehouse ,4
1358,Bone ,Old Bill Bone ,4
1359,Liddle ,Big Liddle ,4
1360,Norrey ,The Norrey ,5
