,source,target,value
288,Bran ,Hodor ,11
289,Bran ,Meera ,11
290,Bran ,Jojen ,9
291,Hodor ,Jojen ,6
292,Pyp ,Owen ,3
293,Davos ,Salladhor ,4
294,Davos ,Melisandre ,3
295,Davos ,Axell ,3
296,Davos ,Edric ,3
297,Davos ,Seaworth ,4
298,Davos ,Saan ,3
299,Salladhor ,Saan ,23
300,Axell ,Florent ,6
301,Rorge ,Biter ,3
302,Rorge ,Zollo ,4
303,Thoren ,Smallwood ,10
304,Edric ,Storm ,13
305,Mallador ,Smallwood ,3
306,Mallador ,Locke ,3
307,Ottyn ,Smallwood ,3
308,Meera ,Jojen ,7
309,Bernarr ,Black Bernarr ,3
310,Osmund ,Kettleblack ,8
311,Osney ,Osfryd ,3
312,Rattleshirt ,Harma ,3
313,Harma ,Jarl ,3
314,Ben ,Plumm ,6
315,Ben ,Brown Ben Plumm ,4
316,Belwas ,Strong Belwas ,38
317,Belwas ,Arstan ,5
318,Belwas ,Strong ,38
319,Walton ,Steelshanks ,6
320,Strong Belwas ,Arstan ,3
321,Strong Belwas ,Strong ,38
322,Paul ,Small Paul ,25
323,Dirk ,Ollo ,3
324,Karl ,Clubfoot Karl ,8
325,Ollo ,Lophand ,4
326,Megga ,Alla ,5
327,Megga ,Elinor ,3
328,Ryk ,Longspear Ryk ,5
329,Styr ,Jarl ,4
330,Tormund ,Giantsbane ,9
331,Lem ,Tom ,8
332,Lem ,Jack-Be-Lucky ,3
333,Lem ,Lem Lemoncloak ,7
334,Lem ,Sevenstrings ,3
335,Lem ,Greenbeard ,4
336,Tom ,Sevenstrings ,23
337,Rolph ,Spicer ,3
338,Kraznys ,mo Nakloz ,13
339,Grigg ,Errok ,3
340,Dick ,Follard ,5
341,Dick ,Deaf Dick Follard ,3
342,Simon ,Toyne ,3
343,Ellaria ,Sand ,6
344,Prendahl ,Sallor ,6
345,Prendahl ,na Ghezn ,5
346,Sallor ,na Ghezn ,4
347,Daario ,Naharis ,8
348,Gerald ,Gower ,3
349,Henly ,Young Henly ,4
350,Henly ,Old Henly ,4
351,Oznak ,zo Pahl ,5
352,Oznak ,Pahl ,5
353,Watt ,Long ,3
354,Emmett ,Iron Emmett ,4
355,Hill ,Sweet Donnel ,4
356,Hill ,Sweet ,4
357,Grandison ,Cafferen ,3
358,Follard ,Deaf Dick Follard ,3
359,zo Pahl ,Pahl ,5
360,Plumm ,Brown Ben Plumm ,3
361,Sweet Donnel ,Sweet ,13
362,The Bastard of Nightsong ,The Bastard ,3
363,Arstan ,Strong ,3
